,day,ID,timestamps,date_time,price,market_caps,volumes,price_dif,%change,st_dev,>st_dev
1607,208,shiba-inu,1655856000000,2022-06-22 00:00:00,1.0586203512994156e-05,6185396455.355073,1839091446.7859132,2.4277665684666496e-06,0.2975774140284482,0.05953715720734186,1
1608,209,shiba-inu,1655942400000,2022-06-23 00:00:00,9.684284996741363e-06,5705048190.3752365,1344203434.839949,-9.019185162527932e-07,-0.08519754179538709,0.06323808510262191,1
1609,210,shiba-inu,1656028800000,2022-06-24 00:00:00,1.0322318066359656e-05,6090221982.249816,727037910.6089666,6.380330696182935e-07,0.06588334294508923,0.06313854823851733,1
1610,211,shiba-inu,1656115200000,2022-06-25 00:00:00,1.087650852685509e-05,6480667389.98585,839555729.6545436,5.541904604954332e-07,0.05368856655381847,0.0633336354191266,0
1611,212,shiba-inu,1656201600000,2022-06-26 00:00:00,1.18026823289048e-05,6931995805.626578,984676899.385964,9.2617380204971e-07,0.08515359499446928,0.06344649466502804,1
1612,213,shiba-inu,1656288000000,2022-06-27 00:00:00,1.1050794692300341e-05,6544686729.886247,677631022.6642803,-7.518876366044588e-07,-0.06370481011448423,0.06374971345717756,0
1613,214,shiba-inu,1656374400000,2022-06-28 00:00:00,1.106402826068143e-05,6510722852.502879,540446067.6981792,1.3233568381088533e-08,0.0011975218750837026,0.06387092415991014,0
1614,215,shiba-inu,1656460800000,2022-06-29 00:00:00,9.981285263423614e-06,5883185751.251432,477414438.9676855,-1.0827429972578155e-06,-0.09786155383438344,0.06376934156825649,1
1615,216,shiba-inu,1656547200000,2022-06-30 00:00:00,1.0175801655863956e-05,6004611322.890111,614298068.2757809,1.9451639244034253e-07,0.01948811072990241,0.06408163466079052,0
1616,217,shiba-inu,1656633600000,2022-07-01 00:00:00,1.0181435662714813e-05,5967996834.393285,599500706.334211,5.634006850856776e-09,0.0005536671253424143,0.06408587085339035,0
1617,218,shiba-inu,1656720000000,2022-07-02 00:00:00,1.005614923770858e-05,5941249189.088755,432146908.22908664,-1.2528642500623383e-07,-0.01230537904050626,0.06389509899800253,0
1618,219,shiba-inu,1656806400000,2022-07-03 00:00:00,1.0094524184463825e-05,5951111617.722707,216553979.3421408,3.83749467552458e-08,0.003816067746026213,0.06354772921861031,0
1619,220,shiba-inu,1656892800000,2022-07-04 00:00:00,1.0048933064429624e-05,5924924963.94136,204809054.45861173,-4.559112003420151e-08,-0.004516420903163461,0.06351112634778164,0
1620,221,shiba-inu,1656979200000,2022-07-05 00:00:00,1.0505295593982166e-05,6182637060.412847,314529786.6202844,4.563625295525428e-07,0.04541402819846983,0.0635109892835447,0
1621,222,shiba-inu,1657065600000,2022-07-06 00:00:00,1.0315895580186612e-05,6088830659.716057,475152971.6405881,-1.8940001379555471e-07,-0.01802900376302122,0.0635801368050975,0
1622,223,shiba-inu,1657152000000,2022-07-07 00:00:00,1.0470764789832697e-05,6175090007.52181,330100712.21298087,1.5486920964608497e-07,0.015012677129413463,0.0635041435443738,0
1623,224,shiba-inu,1657238400000,2022-07-08 00:00:00,1.1311770743648807e-05,6686054623.147909,474748333.1961523,8.410059538161103e-07,0.08031943899959842,0.06351161737049454,1
1624,225,shiba-inu,1657324800000,2022-07-09 00:00:00,1.1329358371899604e-05,6681329123.987218,612526036.1087276,1.7587628250797203e-08,0.0015548076998176512,0.06377537714085989,0
1625,226,shiba-inu,1657411200000,2022-07-10 00:00:00,1.1638942526115716e-05,6854120475.786667,454945306.0303056,3.0958415421611143e-07,0.027325832942488443,0.06375478065219511,0
